country,period,log_rel_flu_level,cov_daily_cases,workplace_presence_reduction,idvi,age,T,RH,latitude,longitude,nb_days_school_closure,nb_days_workplace_closure,nb_days_public_event_restrictions,nb_days_gathering_restrictions,nb_days_public_transport_restrictions,nb_days_stay_at_home_requirements,nb_days_facial_covering_requirements,nb_days_elderly_shielding,nb_days_international_travel_restrictions,nb_days_testing_implementation,nb_days_contact_tracing_implementation
Germany,winter2021,-2.816858227839902,160.84364835164834,29.647058823529413,0.96689,46.6,276.94921591805564,81.64173118867456,51.32118038069264,10.028717204879438,90.0,91.0,91.0,91.0,91.0,27.0,0.0,91.0,91.0,0.0,22.0
Ghana,autumn2020,-0.3073997098517053,2.596956043956044,10.666666666666666,0.462565,21.1,299.275972712407,82.11891771920426,6.317334260613837,-1.086107727188438,91.0,0.0,46.0,91.0,0.0,0.0,91.0,0.0,0.0,91.0,91.0
Ghana,spring2021,-0.195047020568789,2.3309670329670333,5.333333333333333,0.462565,21.1,300.67740870824315,77.0402292164706,6.317334260613837,-1.086107727188438,0.0,0.0,91.0,91.0,0.0,69.0,91.0,0.0,49.0,47.0,69.0
Ghana,summer2021,-0.0039832106502321,10.052549450549453,2.6666666666666665,0.462565,21.1,298.1089945188332,83.42657123956194,6.317334260613837,-1.086107727188438,0.0,28.0,91.0,91.0,0.0,76.0,91.0,0.0,0.0,0.0,62.0
Ghana,winter2021,-0.1047967423244466,12.061505494505496,12.666666666666666,0.462565,21.1,300.92032643597736,73.29093288493856,6.317334260613837,-1.086107727188438,32.0,20.0,20.0,91.0,0.0,20.0,91.0,0.0,29.0,83.0,83.0
Guatemala,spring2020,-0.4213017001528384,5.927450549450551,36.11111111111112,0.477179,22.9,302.5420837402344,73.64359283447266,14.612652,-90.530746,91.0,90.0,90.0,91.0,90.0,85.0,68.0,85.0,91.0,0.0,0.0
Guatemala,spring2021,-2.0189867111113653,53.48347252747253,15.605504587155965,0.477179,22.9,301.5938720703125,76.30329895019531,14.612652,-90.530746,17.0,0.0,5.0,91.0,91.0,0.0,91.0,0.0,58.0,34.0,0.0
Guatemala,summer2021,-0.7856799913621919,143.92458241758243,13.917431192660551,0.477179,22.9,301.4932861328125,80.48836517333984,14.612652,-90.530746,20.0,0.0,42.0,71.0,29.0,20.0,84.0,20.0,91.0,91.0,0.0
Guatemala,winter2021,-1.4745885290543157,32.274186813186816,21.445454545454545,0.477179,22.9,300.3512268066406,67.72529602050781,14.612652,-90.530746,91.0,0.0,0.0,27.0,91.0,0.0,91.0,0.0,0.0,0.0,0.0
Haiti,autumn2020,-0.7288182967117953,0.9844615384615384,25.1,0.149471,24.3,300.11688232421875,82.71046447753906,18.53917,-72.335,0.0,0.0,64.0,84.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0
Haiti,spring2020,-0.201398068540448,3.924793103448276,25.11111111111111,0.149471,24.3,299.79608154296875,78.23352813720703,18.53917,-72.335,91.0,75.0,88.0,88.0,13.0,88.0,23.0,0.0,91.0,0.0,0.0
Haiti,spring2021,-0.4393969186101706,3.281956043956044,21.22222222222222,0.149471,24.3,299.0063781738281,79.98529052734375,18.53917,-72.335,0.0,0.0,20.0,91.0,21.0,91.0,91.0,20.0,0.0,91.0,91.0
Haiti,summer2020,-0.9998669446890728,4.299714285714285,24.444444444444443,0.149471,24.3,301.4552001953125,78.31905364990234,18.53917,-72.335,63.0,0.0,35.0,35.0,8.0,91.0,91.0,0.0,15.0,0.0,0.0
Haiti,summer2021,-0.5730105172185418,4.839582417582417,28.2,0.149471,24.3,300.9556884765625,78.97665405273438,18.53917,-72.335,0.0,0.0,91.0,91.0,31.0,91.0,91.0,60.0,0.0,91.0,91.0
Haiti,winter2021,0.8280932274484565,2.9905824175824174,36.0,0.149471,24.3,298.42059326171875,78.3426513671875,18.53917,-72.335,0.0,0.0,0.0,91.0,0.0,62.0,91.0,0.0,0.0,34.0,34.0
Honduras,autumn2020,-0.4973941814223689,50.85546153846153,27.296296296296298,0.407296,24.9,299.5540737927517,86.58463625849551,14.627335123971166,-87.52346748804543,91.0,91.0,91.0,91.0,91.0,85.0,91.0,85.0,0.0,0.0,0.0
Honduras,spring2020,-0.0524422327049065,9.669835164835163,48.63636363636363,0.407296,24.9,301.8927436108168,72.98324620074533,14.627335123971166,-87.52346748804543,91.0,91.0,91.0,91.0,91.0,91.0,25.0,91.0,91.0,0.0,0.0
Honduras,spring2021,-1.8177716212216224,75.84203296703298,21.74074074074074,0.407296,24.9,300.99410887130205,74.45949271150027,14.627335123971166,-87.52346748804543,91.0,91.0,91.0,91.0,0.0,91.0,91.0,90.0,91.0,41.0,0.0
Honduras,summer2020,-0.2750339895088105,64.35393406593407,36.87037037037037,0.407296,24.9,300.87325193000544,81.6722374996945,14.627335123971166,-87.52346748804543,91.0,91.0,91.0,91.0,91.0,68.0,91.0,68.0,63.0,0.0,0.0
